iter	Logloss
0	0.6235403342
1	0.5795978353
2	0.5336680531
3	0.4884830638
4	0.4632568082
5	0.4443839591
6	0.4129013561
7	0.3888650709
8	0.372666842
9	0.3583289758
10	0.3452274077
11	0.3333101528
12	0.3239246835
13	0.3138987307
14	0.3067639669
15	0.3023200662
16	0.2970080975
17	0.2933589805
18	0.2902315596
19	0.2861679831
20	0.2835927139
21	0.280156309
22	0.2768919127
23	0.2749175634
24	0.27333405
25	0.2715030501
26	0.2686043174
27	0.2672597863
28	0.2659647045
29	0.2643904865
30	0.2630912629
31	0.2623531769
32	0.2615519249
33	0.2606438879
34	0.2596334023
35	0.2587789933
36	0.2581706211
37	0.2577177838
38	0.257185122
39	0.256628365
40	0.2561790892
41	0.2556749225
42	0.2553663332
43	0.2547482105
44	0.2544323108
45	0.2541117058
46	0.2537926108
47	0.2533481537
48	0.2529892992
49	0.252825815
50	0.2525252684
51	0.2521354827
52	0.2518250795
53	0.2514556496
54	0.2509916732
55	0.2507179247
56	0.2504039944
57	0.2500472786
58	0.2496876354
59	0.2493779185
60	0.2485918622
61	0.2484283362
62	0.2481422358
63	0.2479715875
64	0.247835776
65	0.2477037396
66	0.2474573461
67	0.2472790571
68	0.2470084606
69	0.246477965
70	0.2461683898
71	0.2460776469
72	0.2458358001
73	0.2455629108
74	0.2453379995
75	0.2450160707
76	0.2448243209
77	0.2443016285
78	0.2441487297
79	0.2438343056
80	0.2434381809
81	0.2431892935
82	0.2430731277
83	0.2428953309
84	0.2424680402
85	0.2423417682
86	0.242160795
87	0.2420292884
88	0.2416501891
89	0.2415445907
90	0.2414800988
91	0.2413586158
92	0.2412564331
93	0.2410873148
94	0.2410349568
95	0.2409317493
96	0.2408307345
97	0.2407101269
98	0.2405652564
99	0.2405308169
100	0.240432035
101	0.2403270298
102	0.2402472132
103	0.2401893849
104	0.2400972147
105	0.2398740983
106	0.2397766518
107	0.2394696254
108	0.2393811241
109	0.2393269999
110	0.2392637875
111	0.239130394
112	0.2389226835
113	0.238661435
114	0.2385143172
115	0.2383329722
116	0.2382294577
117	0.2380966426
118	0.2380054846
119	0.237715617
120	0.237624566
121	0.2375316838
122	0.2375106489
123	0.2373530572
124	0.2372259919
125	0.2371539742
126	0.2368288423
127	0.2366894838
128	0.2364970847
129	0.2364024065
130	0.2363205153
131	0.2362039083
132	0.2361439328
133	0.2360202353
134	0.2359002601
135	0.2358204966
136	0.2356876999
137	0.2355165874
138	0.2354185565
139	0.235325978
140	0.2352885097
141	0.2349141943
142	0.234796407
143	0.2346871552
144	0.2345062285
145	0.2344197859
146	0.2343509884
147	0.2342642609
148	0.2341621771
149	0.2339464225
150	0.2338085655
151	0.2337691121
152	0.2337255927
153	0.2336881504
154	0.233605331
155	0.2334597513
156	0.2333895279
157	0.2333078993
158	0.233220888
159	0.2330124048
160	0.2329715263
161	0.2329153726
162	0.2328597644
163	0.2327316441
164	0.2325069623
165	0.2324485041
166	0.2323723968
167	0.2321617758
168	0.2320853835
169	0.2319477858
170	0.2318430241
171	0.2317655789
172	0.2316316881
173	0.2315767837
174	0.2314336958
175	0.2313471077
176	0.2309573223
177	0.2308893083
178	0.2307190862
179	0.2306298897
180	0.2305848504
181	0.2305598238
182	0.2304489795
183	0.2301841413
184	0.2301340683
185	0.2300405642
186	0.2298420996
187	0.229702337
188	0.2295645361
189	0.2294923917
190	0.2293902938
191	0.229223297
192	0.2291088446
193	0.2289959144
194	0.228847066
195	0.2287829694
196	0.2286999893
197	0.2285964891
198	0.2285321873
199	0.228428181
200	0.2281231886
201	0.228034668
202	0.2279273742
203	0.2277897481
204	0.2277020167
205	0.227545662
206	0.2274284103
207	0.2271976498
208	0.2269255371
209	0.226813634
210	0.2266356695
211	0.2264561644
212	0.2263254827
213	0.2262306953
214	0.2261148158
215	0.2259831419
216	0.2258661316
217	0.2257975868
218	0.2257346073
219	0.2256727085
220	0.2255870014
221	0.2255254572
222	0.2254415829
223	0.2252978625
224	0.225149627
225	0.2250094015
226	0.2248638084
227	0.2247979145
228	0.2247228406
229	0.2246381901
