iter	Passed	Remaining
301	3653	8444
302	3665	8432
303	3677	8420
304	3689	8408
305	3700	8393
306	3712	8379
307	3723	8365
308	3735	8352
309	3746	8339
310	3758	8325
311	3771	8316
312	3784	8306
313	3796	8293
314	3808	8282
315	3830	8291
316	3843	8280
317	3856	8270
318	3869	8261
319	3883	8251
320	3894	8238
321	3905	8223
322	3916	8209
323	3926	8192
324	3936	8175
325	3946	8158
326	3955	8140
327	3966	8126
328	3979	8115
329	3990	8102
330	4001	8088
331	4012	8072
332	4022	8057
333	4033	8043
334	4045	8029
335	4057	8017
336	4067	8001
337	4079	7990
338	4091	7977
339	4100	7960
340	4112	7947
341	4123	7934
342	4134	7919
343	4145	7905
344	4156	7891
345	4167	7876
346	4179	7865
347	4192	7854
348	4204	7842
349	4215	7829
350	4227	7816
351	4238	7802
352	4250	7790
353	4262	7778
354	4274	7765
355	4284	7750
356	4295	7737
357	4310	7730
358	4327	7727
359	4341	7717
360	4358	7714
361	4373	7707
362	4390	7704
363	4407	7701
364	4422	7693
365	4436	7685
366	4454	7682
367	4468	7673
368	4482	7665
369	4495	7655
370	4511	7648
371	4526	7641
372	4540	7632
373	4555	7625
374	4568	7614
375	4583	7606
376	4597	7598
377	4611	7587
378	4626	7579
379	4641	7573
380	4654	7561
381	4670	7555
382	4685	7548
383	4701	7541
384	4715	7533
385	4729	7523
386	4744	7514
387	4757	7504
388	4769	7492
389	4782	7481
390	4795	7469
391	4809	7459
392	4822	7448
393	4835	7437
394	4850	7428
395	4865	7420
396	4878	7410
397	4891	7398
398	4904	7387
399	4917	7376
400	4931	7366
401	4945	7356
402	4958	7344
403	4972	7336
404	4986	7326
405	5000	7315
406	5012	7303
407	5026	7293
408	5037	7279
409	5049	7265
410	5061	7253
411	5072	7239
412	5087	7230
413	5100	7219
414	5112	7206
415	5127	7197
416	5140	7186
417	5153	7175
418	5168	7166
419	5182	7156
420	5196	7146
421	5209	7135
422	5224	7126
423	5240	7119
424	5255	7109
425	5268	7098
426	5281	7086
427	5294	7076
428	5309	7066
429	5322	7055
430	5336	7045
431	5349	7034
432	5362	7022
433	5375	7010
434	5388	6999
435	5401	6986
436	5413	6974
437	5426	6962
438	5437	6948
439	5449	6935
440	5458	6919
441	5469	6904
442	5481	6891
443	5491	6876
444	5503	6864
445	5515	6850
446	5526	6836
447	5537	6823
448	5549	6810
449	5564	6800
450	5577	6789
451	5589	6776
452	5602	6765
453	5617	6755
454	5630	6744
455	5644	6734
456	5657	6722
457	5671	6711
458	5684	6699
459	5699	6691
460	5714	6681
461	5730	6672
462	5743	6661
463	5759	6652
464	5774	6644
465	5788	6633
466	5802	6622
467	5817	6613
468	5833	6604
469	5847	6594
470	5864	6586
471	5879	6576
472	5892	6565
473	5906	6554
474	5919	6542
475	5931	6529
476	5944	6517
477	5957	6505
478	5971	6494
479	5985	6484
480	6001	6475
481	6015	6464
482	6030	6454
483	6045	6444
484	6059	6434
485	6074	6424
486	6087	6412
487	6098	6398
488	6109	6384
489	6122	6372
490	6134	6359
491	6147	6347
492	6159	6334
493	6173	6322
494	6185	6310
495	6197	6297
496	6209	6284
497	6220	6270
498	6231	6256
499	6242	6242
500	6253	6228
501	6264	6214
502	6275	6200
503	6288	6188
504	6300	6175
505	6310	6161
506	6321	6147
507	6333	6133
508	6345	6121
509	6355	6106
510	6366	6092
511	6378	6079
512	6389	6065
513	6401	6052
514	6413	6040
515	6425	6026
516	6439	6015
517	6450	6002
518	6463	5990
519	6477	5979
520	6492	5969
521	6506	5957
522	6520	5947
523	6533	5935
524	6546	5922
525	6559	5910
526	6572	5899
527	6586	5887
528	6599	5876
529	6611	5862
530	6624	5851
531	6638	5839
532	6653	5829
533	6668	5819
534	6682	5807
535	6695	5795
536	6708	5784
537	6722	5772
538	6737	5762
539	6750	5750
540	6762	5737
541	6775	5725
542	6789	5713
543	6802	5701
544	6816	5690
545	6829	5678
546	6843	5667
547	6855	5654
548	6868	5642
549	6882	5631
550	6895	5618
551	6907	5606
552	6920	5594
553	6931	5580
554	6943	5567
555	6956	5555
556	6969	5542
557	6981	5530
558	6994	5518
559	7008	5506
560	7020	5493
561	7034	5482
562	7049	5471
563	7063	5460
564	7076	5448
565	7090	5436
566	7104	5425
567	7116	5412
568	7129	5400
569	7143	5388
570	7155	5376
571	7168	5364
572	7183	5353
573	7196	5341
574	7212	5330
575	7226	5319
576	7240	5307
577	7252	5295
578	7266	5283
579	7279	5271
580	7293	5259
581	7306	5247
582	7319	5235
583	7333	5224
584	7346	5211
585	7358	5198
586	7372	5186
587	7384	5174
588	7395	5160
589	7407	5147
590	7419	5134
591	7430	5121
592	7440	5106
593	7453	5094
594	7465	5081
595	7475	5067
596	7486	5054
597	7498	5040
598	7510	5027
599	7520	5013
600	7530	4999
601	7540	4985
602	7550	4971
603	7561	4957
604	7573	4944
605	7585	4931
606	7596	4918
607	7608	4905
608	7620	4892
609	7632	4879
610	7645	4867
611	7658	4855
612	7670	4842
613	7682	4829
614	7695	4817
615	7706	4803
616	7717	4790
617	7731	4778
618	7743	4766
619	7756	4754
620	7770	4742
621	7783	4730
622	7797	4718
623	7812	4707
624	7824	4694
625	7839	4683
626	7853	4671
627	7867	4660
628	7882	4649
629	7897	4638
630	7911	4626
631	7926	4615
632	7940	4603
633	7954	4591
634	7967	4579
635	7981	4568
636	7996	4556
637	8011	4545
638	8024	4533
639	8039	4522
640	8052	4510
641	8065	4497
642	8078	4485
643	8092	4473
644	8107	4462
645	8121	4450
646	8134	4438
647	8148	4426
648	8162	4414
649	8176	4402
650	8188	4389
651	8200	4376
652	8211	4363
653	8222	4349
654	8233	4336
655	8247	4324
656	8259	4312
657	8271	4298
658	8283	4286
659	8294	4272
660	8306	4260
661	8320	4248
662	8335	4236
663	8349	4224
664	8361	4212
665	8373	4199
666	8384	4186
667	8398	4174
668	8411	4161
669	8425	4149
670	8437	4136
671	8450	4124
672	8462	4111
673	8474	4098
674	8485	4085
675	8498	4073
676	8509	4060
677	8520	4046
678	8533	4034
679	8546	4021
680	8557	4008
681	8570	3995
682	8581	3982
683	8592	3969
684	8605	3957
685	8617	3944
686	8628	3931
687	8641	3918
688	8653	3905
689	8665	3893
690	8678	3880
691	8690	3867
692	8703	3855
693	8715	3843
694	8726	3829
695	8738	3816
696	8751	3804
697	8763	3791
698	8777	3779
699	8788	3766
700	8801	3753
701	8812	3740
702	8825	3728
703	8838	3716
704	8849	3702
705	8862	3690
706	8873	3677
707	8887	3665
708	8901	3653
709	8914	3641
710	8925	3628
711	8938	3615
712	8951	3603
713	8963	3590
714	8975	3577
715	8987	3564
716	8998	3551
717	9010	3538
718	9022	3526
719	9035	3513
720	9046	3500
721	9059	3488
722	9070	3475
723	9084	3463
724	9096	3450
725	9110	3438
726	9123	3425
727	9135	3413
728	9148	3401
729	9162	3388
730	9176	3376
731	9188	3364
732	9202	3352
733	9216	3339
734	9228	3327
735	9241	3315
736	9255	3302
737	9268	3290
738	9282	3278
739	9292	3265
740	9304	3252
741	9316	3239
742	9328	3226
743	9340	3214
744	9353	3201
745	9365	3188
746	9377	3176
747	9390	3163
748	9404	3151
749	9416	3138
750	9426	3125
751	9436	3112
752	9449	3099
753	9460	3086
754	9471	3073
755	9483	3060
756	9494	3047
757	9505	3034
758	9518	3022
759	9531	3010
760	9543	2997
761	9554	2984
762	9566	2971
763	9578	2958
764	9590	2945
765	9601	2933
766	9614	2920
767	9625	2907
768	9637	2895
769	9649	2882
770	9661	2869
771	9673	2856
772	9685	2844
773	9697	2831
774	9709	2818
775	9721	2806
776	9734	2793
777	9745	2780
778	9757	2768
779	9768	2755
780	9779	2742
781	9789	2729
782	9799	2715
783	9809	2702
784	9822	2690
785	9832	2677
786	9844	2664
787	9855	2651
788	9866	2638
789	9876	2625
790	9887	2612
791	9898	2599
792	9910	2586
793	9921	2574
794	9933	2561
795	9945	2548
796	9957	2536
797	9970	2523
798	9984	2511
799	9999	2499
800	10013	2487
801	10028	2475
802	10041	2463
803	10054	2451
804	10066	2438
805	10080	2426
806	10094	2414
807	10107	2401
808	10120	2389
809	10133	2377
810	10146	2364
811	10160	2352
812	10172	2339
813	10186	2327
814	10199	2315
815	10211	2302
816	10223	2289
817	10236	2277
818	10249	2265
819	10261	2252
820	10273	2239
821	10285	2227
822	10297	2214
823	10308	2201
824	10322	2189
825	10334	2177
826	10347	2164
827	10359	2152
828	10372	2139
829	10384	2126
830	10395	2114
831	10406	2101
832	10417	2088
833	10428	2075
834	10439	2062
835	10450	2050
836	10460	2037
837	10470	2024
838	10481	2011
839	10492	1998
840	10503	1985
841	10514	1973
842	10525	1960
843	10536	1947
844	10547	1934
845	10558	1922
846	10570	1909
847	10581	1896
848	10592	1884
849	10603	1871
850	10614	1858
851	10626	1845
852	10637	1833
853	10648	1820
854	10659	1807
855	10669	1794
856	10680	1782
857	10691	1769
858	10702	1756
859	10713	1744
860	10724	1731
861	10734	1718
862	10745	1705
863	10757	1693
864	10767	1680
865	10779	1667
866	10790	1655
867	10801	1642
868	10812	1629
869	10823	1617
870	10834	1604
871	10844	1591
872	10855	1579
873	10866	1566
874	10877	1553
875	10887	1541
876	10899	1528
877	10910	1515
878	10920	1503
879	10931	1490
880	10941	1477
881	10951	1465
882	10962	1452
883	10973	1440
884	10985	1427
885	10996	1414
886	11007	1402
887	11017	1389
888	11029	1377
889	11039	1364
890	11050	1351
891	11061	1339
892	11072	1326
893	11083	1314
894	11095	1301
895	11106	1289
896	11118	1276
897	11129	1264
898	11140	1251
899	11151	1239
900	11162	1226
901	11173	1213
902	11184	1201
903	11195	1188
904	11205	1176
905	11216	1163
906	11228	1151
907	11239	1138
908	11249	1126
909	11260	1113
910	11271	1101
911	11282	1088
912	11292	1076
913	11303	1063
914	11315	1051
915	11326	1038
916	11337	1026
917	11348	1013
918	11360	1001
919	11371	988
920	11381	976
921	11391	963
922	11401	951
923	11411	938
924	11421	926
925	11430	913
926	11440	900
927	11450	888
928	11460	875
929	11469	863
930	11478	850
931	11488	838
932	11497	825
933	11508	813
934	11518	800
935	11528	788
936	11538	775
937	11548	763
938	11559	750
939	11570	738
940	11581	726
941	11593	713
942	11604	701
943	11616	689
944	11627	676
945	11639	664
946	11650	652
947	11661	639
948	11672	627
949	11682	614
950	11691	602
951	11701	589
952	11712	577
953	11724	565
954	11738	553
955	11750	540
956	11762	528
957	11775	516
958	11796	504
959	11807	491
960	11819	479
961	11831	467
962	11842	455
963	11854	442
964	11867	430
965	11879	418
966	11890	405
967	11902	393
968	11913	381
969	11925	368
970	11937	356
971	11949	344
972	11961	331
973	11975	319
974	11986	307
975	11999	295
976	12014	282
977	12026	270
978	12039	258
979	12053	245
980	12067	233
981	12078	221
982	12093	209
983	12108	196
984	12122	184
985	12134	172
986	12148	160
987	12161	147
988	12174	135
989	12187	123
990	12198	110
991	12209	98
992	12221	86
993	12233	73
994	12244	61
995	12256	49
996	12268	36
997	12280	24
998	12292	12
999	12306	0
